    undulator B at 12 keV FHE  
    _________________________  
                               
              E            flux
        23.3833     1.15851E+14
        23.4333     1.18866E+14
        23.4833     1.24611E+14
        23.5333     1.07173E+14
        23.5667     1.13265E+14
        23.6167     1.14518E+14
        23.6667     1.07014E+14
        23.7000     1.06232E+14
        23.7500     7.89619E+13
        23.7833     7.17581E+13
        23.8167     6.37920E+13
        23.8667     5.96039E+13
        23.9000     8.08633E+13
        23.9333     9.30292E+13
        23.9667     7.75081E+13
        24.0000     6.36493E+13
        24.0333     7.14966E+13
        24.0667     9.00319E+13
        24.1000     8.64522E+13
        24.1333     6.39327E+13
        24.1833     6.01924E+13
        24.2167     5.26893E+13
        24.2500     4.10397E+13
        24.3000     5.35961E+13
        24.3333     6.00833E+13
        24.3833     8.53492E+13
        24.4333     7.89569E+13
        24.4667     5.71552E+13
        24.5167     5.17131E+13
        24.5667     7.73936E+13
        24.6167     1.06377E+14
        24.6667     6.41736E+13
        24.7167     5.17782E+13
        24.7667     7.15137E+13
        24.8167     6.35431E+13
        24.8667     5.93344E+13
        24.9167     7.09314E+13
        24.9667     5.58064E+13
        25.0333     7.01780E+13
        25.0833     1.16015E+14
        25.1333     1.03720E+14
        25.2000     6.25012E+13
        25.2500     5.28741E+13
        25.3167     6.59381E+13
        25.3667     6.82808E+13
        25.4333     6.56421E+13
        25.5000     7.95415E+13
        25.5667     9.09999E+13
        25.6167     8.69794E+13
        25.6833     7.96076E+13
        25.7500     7.57700E+13
        25.8167     7.02175E+13
        25.8833     7.01476E+13
        25.9500     6.64674E+13
        26.0167     6.94169E+13
        26.0833     8.73555E+13
        26.1500     8.76303E+13
        26.2167     1.10222E+14
        26.2833     7.63999E+13
        26.3500     5.51122E+13
        26.4333     6.58480E+13
        26.5000     7.89513E+13
        26.5667     8.41407E+13
        26.6500     9.33165E+13
        26.7167     1.05582E+14
        26.7833     7.41014E+13
        26.8667     5.97895E+13
        26.9333     8.32453E+13
        27.0167     8.52058E+13
        27.0833     6.99412E+13
        27.1667     8.68792E+13
        27.2333     1.09668E+14
        27.3167     7.43045E+13
        27.4000     7.91829E+13
        27.4667     7.26789E+13
        27.5500     7.39755E+13
        27.6333     8.24563E+13
        27.7000     1.01808E+14
        27.7833     9.94976E+13
        27.8667     7.27289E+13
        27.9500     6.76330E+13
        28.0167     6.69893E+13
        28.1000     8.90761E+13
        28.1833     9.38977E+13
        28.2667     9.48174E+13
        28.3500     8.83583E+13
        28.4333     7.40639E+13
        28.5000     6.30438E+13
        28.5833     7.52635E+13
        28.6667     8.28332E+13
        28.7500     9.98128E+13
        28.8333     1.05180E+14
        28.9167     7.57437E+13
        29.0000     6.08194E+13
        29.0833     6.99047E+13
        29.1667     8.05906E+13
        29.2500     9.67841E+13
        29.3333     9.94236E+13
        29.4167     7.86426E+13
        29.5000     7.20271E+13
        29.5833     7.30477E+13
        29.6667     6.91662E+13
        29.7500     8.46976E+13
        29.8333     9.59999E+13
        29.9167     7.88041E+13
        30.0000     7.12571E+13
