 flux tru 2x1 mm ap., at 28m, k=2 
 ________________________________ 
                                  
          energy              flux
        19.19162      1.150193E+13
        19.22477      1.331051E+13
        19.24686      1.637709E+13
        19.28001      1.308967E+13
        19.31316      1.035905E+13
        19.35735      1.266181E+13
        19.39050      1.550994E+13
        19.42364      1.463021E+13
        19.46784      1.224311E+13
        19.51204      1.417176E+13
        19.55623      1.516251E+13
        19.60042      1.410934E+13
        19.64462      1.419351E+13
        19.68881      1.481719E+13
        19.73301      1.457607E+13
        19.77720      1.442720E+13
        19.83245      1.411911E+13
        19.87664      1.398363E+13
        19.93188      1.375692E+13
        19.97608      1.300989E+13
        20.03132      1.276929E+13
        20.08657      1.209946E+13
        20.13076      1.135799E+13
        20.18601      1.098135E+13
        20.24125      1.013271E+13
        20.29649      9.541549E+12
        20.35174      9.050374E+12
        20.40698      8.547920E+12
        20.46222      8.427405E+12
        20.51747      8.333829E+12
        20.57271      8.656528E+12
        20.62795      9.370058E+12
        20.68320      1.036182E+13
        20.73844      1.187969E+13
        20.79369      1.399437E+13
        20.84893      1.661864E+13
        20.90417      1.974394E+13
        20.95942      2.358427E+13
        21.01466      2.804836E+13
        21.06990      3.290474E+13
        21.12515      3.836085E+13
        21.18039      4.438925E+13
        21.23563      5.047115E+13
        21.27983      5.551184E+13
        21.33507      6.172464E+13
        21.39032      6.783477E+13
        21.43451      7.205207E+13
        21.48975      7.694291E+13
        21.53395      7.974068E+13
        21.58919      8.231166E+13
        21.63339      8.361992E+13
        21.67758      8.282006E+13
        21.72178      8.137111E+13
        21.76597      7.796421E+13
        21.81017      7.618575E+13
        21.85436      7.046081E+13
        21.89856      6.382047E+13
        21.94275      6.058316E+13
        21.97590      5.897082E+13
        22.00904      5.905762E+13
        22.05324      5.780177E+13
        22.08639      6.186330E+13
        22.11953      7.208031E+13
        22.14163      8.319679E+13
        22.17477      1.058902E+14
        22.19687      1.219319E+14
        22.23002      1.482797E+14
        22.25212      1.576694E+14
        22.27421      1.018876E+14
        22.29631      3.172880E+13
        22.31841      1.479773E+13
        22.35155      1.333068E+13
        22.37365      1.011146E+13
        22.40680      6.180032E+12
        22.42890      6.012229E+12
        22.46204      6.743983E+12
        22.49519      7.698763E+12
        22.53938      6.459325E+12
        22.57253      5.079559E+12
        22.60567      4.918762E+12
        22.64987      5.716445E+12
