 flux tru 1.5x0.5 mm ap., at 28m, 
 ________________________________ 
                                  
          energy              flux
        13.66726      3.453094E+11
        13.72251      3.887011E+11
        13.76670      4.514714E+11
        13.82195      5.679447E+11
        13.87719      7.325400E+11
        13.93243      9.548602E+11
        13.98768      1.243499E+12
        14.04292      1.608662E+12
        14.09816      2.068784E+12
        14.15341      2.601989E+12
        14.20865      3.294276E+12
        14.26389      4.015378E+12
        14.31914      4.983408E+12
        14.37438      5.932073E+12
        14.42962      7.169830E+12
        14.48487      8.404786E+12
        14.54011      9.845994E+12
        14.59536      1.142028E+13
        14.65060      1.295602E+13
        14.70584      1.482180E+13
        14.76109      1.642788E+13
        14.81633      1.823732E+13
        14.87157      2.004047E+13
        14.91577      2.110150E+13
        14.97101      2.278893E+13
        15.02626      2.382404E+13
        15.07045      2.442937E+13
        15.12569      2.514862E+13
        15.16989      2.478394E+13
        15.22513      2.427846E+13
        15.26933      2.376879E+13
        15.31352      2.215648E+13
        15.35772      2.063922E+13
        15.40191      1.904992E+13
        15.44611      1.689513E+13
        15.49030      1.500963E+13
        15.53450      1.383209E+13
        15.57869      1.369927E+13
        15.61184      1.471708E+13
        15.64498      1.717791E+13
        15.68918      2.361610E+13
        15.72232      3.169956E+13
        15.75547      4.349106E+13
        15.77757      5.383087E+13
        15.81071      7.358436E+13
        15.83281      9.032457E+13
        15.86596      1.189097E+14
        15.88806      1.297055E+14
        15.91015      8.105435E+13
        15.93225      1.945111E+13
        15.95435      5.984259E+12
        15.98749      2.933502E+12
        16.00959      2.330950E+12
        16.04274      1.611066E+12
        16.06483      1.468332E+12
        16.09798      1.402074E+12
        16.13113      1.211099E+12
        16.17532      1.075936E+12
        16.20847      1.221123E+12
        16.24161      1.308981E+12
        16.28581      1.238910E+12
        16.33000      1.477512E+12
        16.37420      1.670395E+12
        16.41839      1.709165E+12
        16.46259      2.053079E+12
        16.50678      2.288194E+12
        16.55098      2.461014E+12
        16.59517      2.835781E+12
        16.65042      3.188789E+12
        16.69461      3.571325E+12
        16.74986      3.962895E+12
        16.79405      4.410109E+12
        16.84929      4.927870E+12
        16.90454      5.404067E+12
        16.94873      5.995580E+12
        17.00397      6.350185E+12
        17.05922      7.121655E+12
        17.11446      7.495187E+12
        17.16971      8.173009E+12
        17.22495      8.588613E+12
        17.28019      9.087847E+12
        17.33544      9.486306E+12
        17.39068      9.774124E+12
        17.44592      1.005867E+13
        17.50117      1.011120E+13
        17.55641      1.019062E+13
        17.61165      9.987340E+12
        17.66690      9.795996E+12
        17.72214      9.332043E+12
        17.77739      8.850653E+12
        17.83263      8.161631E+12
        17.88787      7.439203E+12
        17.94312      6.635107E+12
        17.99836      5.811158E+12
        18.05360      5.110086E+12
        18.09780      4.594876E+12
        18.15304      4.245193E+12
        18.20829      4.226818E+12
        18.25248      4.640318E+12
        18.30772      5.713883E+12
        18.35192      7.189052E+12
        18.40716      9.971065E+12
        18.45136      1.309897E+13
        18.49555      1.695688E+13
        18.53975      2.173650E+13
        18.58394      2.748410E+13
        18.62814      3.435186E+13
        18.67233      4.147742E+13
        18.71653      4.915066E+13
        18.76072      5.790042E+13
        18.79387      6.392932E+13
        18.82701      6.843158E+13
        18.87121      7.355210E+13
        18.90435      7.600068E+13
        18.93750      7.636732E+13
        18.95960      7.344861E+13
        18.99274      6.481451E+13
        19.01484      5.679718E+13
        19.04799      4.009161E+13
        19.07009      2.543963E+13
        19.09218      1.318125E+13
        19.11428      7.174771E+12
        19.13638      3.935635E+12
        19.16952      3.107053E+12
        19.19162      3.414409E+12
        19.22477      4.334589E+12
        19.24686      5.489612E+12
        19.28001      4.188343E+12
        19.31316      2.966455E+12
        19.35735      3.858845E+12
        19.39050      5.083310E+12
        19.42364      4.738797E+12
        19.46784      3.715189E+12
        19.51204      4.515137E+12
        19.55623      4.975402E+12
        19.60042      4.562289E+12
        19.64462      4.613465E+12
        19.68881      4.930440E+12
        19.73301      4.868949E+12
        19.77720      4.858826E+12
        19.83245      4.791561E+12
        19.87664      4.788498E+12
        19.93188      4.768839E+12
        19.97608      4.494995E+12
        20.03132      4.455412E+12
        20.08657      4.223930E+12
        20.13076      3.923829E+12
        20.18601      3.794243E+12
        20.24125      3.418092E+12
        20.29649      3.129989E+12
        20.35174      2.859772E+12
        20.40698      2.533550E+12
        20.46222      2.344899E+12
        20.51747      2.128025E+12
        20.57271      2.043559E+12
        20.62795      2.091749E+12
        20.68320      2.228661E+12
        20.73844      2.560133E+12
        20.79369      3.124454E+12
        20.84893      3.888867E+12
        20.90417      4.894706E+12
        20.95942      6.219246E+12
        21.01466      7.856592E+12
        21.06990      9.723331E+12
        21.12515      1.192037E+13
        21.18039      1.445685E+13
        21.23563      1.713618E+13
        21.27983      1.944747E+13
        21.33507      2.240249E+13
        21.39032      2.546091E+13
        21.43451      2.768646E+13
        21.48975      3.041389E+13
        21.53395      3.216878E+13
        21.58919      3.395536E+13
        21.63339      3.502787E+13
        21.67758      3.510611E+13
        21.72178      3.482715E+13
        21.76597      3.345487E+13
        21.81017      3.265614E+13
        21.85436      2.993177E+13
        21.89856      2.667416E+13
        21.94275      2.471253E+13
        21.97590      2.362202E+13
        22.00904      2.344845E+13
        22.05324      2.326641E+13
        22.08639      2.593754E+13
        22.11953      3.229189E+13
        22.14163      3.906053E+13
        22.17477      5.353541E+13
        22.19687      6.487313E+13
        22.23002      8.463178E+13
        22.25212      9.263435E+13
        22.27421      6.016224E+13
        22.29631      1.741958E+13
        22.31841      6.795228E+12
        22.35155      5.562243E+12
        22.37365      3.998284E+12
        22.40680      2.194523E+12
        22.42890      2.057107E+12
        22.46204      2.277467E+12
        22.49519      2.670511E+12
        22.53938      2.208729E+12
        22.57253      1.582473E+12
        22.60567      1.430189E+12
        22.64987      1.728136E+12
        22.69407      1.664574E+12
        22.73826      1.355978E+12
        22.78245      1.173843E+12
        22.82665      1.233338E+12
        22.87084      1.284914E+12
        22.91504      1.247017E+12
        22.95923      1.226780E+12
        23.01448      1.326638E+12
        23.05867      1.500180E+12
        23.11391      1.714434E+12
        23.15811      1.946847E+12
        23.21335      2.347974E+12
        23.26860      2.812569E+12
        23.31279      3.243673E+12
        23.36804      3.934208E+12
        23.42328      4.677011E+12
        23.47852      5.513319E+12
        23.53377      6.441486E+12
        23.58901      7.440598E+12
        23.64425      8.591002E+12
        23.69950      9.640052E+12
        23.75474      1.077194E+13
        23.80998      1.200639E+13
        23.86523      1.307604E+13
        23.92047      1.411921E+13
        23.97572      1.506166E+13
        24.03096      1.591960E+13
        24.08620      1.655901E+13
        24.14145      1.690711E+13
        24.19669      1.715877E+13
        24.25193      1.707998E+13
        24.30718      1.669919E+13
        24.36242      1.602841E+13
        24.41766      1.517889E+13
        24.46186      1.433115E+13
        24.51710      1.303716E+13
        24.57235      1.180695E+13
        24.61654      1.106153E+13
        24.67179      1.015423E+13
        24.71598      9.657227E+12
        24.77122      9.750428E+12
        24.81542      1.037152E+13
        24.85961      1.178032E+13
        24.90381      1.418028E+13
        24.94800      1.760718E+13
        24.99220      2.208061E+13
        25.03639      2.745991E+13
        25.08059      3.409138E+13
        25.12478      4.165785E+13
        25.15793      4.753026E+13
        25.19107      5.361174E+13
        25.23527      5.999716E+13
        25.26842      6.320916E+13
        25.30156      6.454783E+13
        25.32366      6.346052E+13
        25.35681      5.866013E+13
        25.37890      5.244519E+13
        25.41205      3.711922E+13
        25.43415      2.364412E+13
        25.45624      1.098054E+13
        25.47834      4.503176E+12
        25.50044      2.835227E+12
        25.53358      2.645895E+12
        25.55568      2.159176E+12
        25.58883      2.183592E+12
        25.61092      2.383706E+12
        25.64407      2.777637E+12
        25.67722      3.455434E+12
        25.72141      3.204868E+12
        25.75456      2.851992E+12
        25.78771      2.994686E+12
        25.83190      3.824288E+12
        25.87609      4.447297E+12
        25.92029      4.591623E+12
        25.96449      4.838571E+12
        26.00868      5.328766E+12
        26.05287      5.701427E+12
        26.09707      6.195788E+12
        26.14126      6.709715E+12
        26.19651      7.070494E+12
        26.24070      7.411782E+12
        26.29595      8.091098E+12
        26.34014      8.322408E+12
        26.39539      8.518437E+12
        26.45063      9.044135E+12
        26.49482      9.185858E+12
        26.55007      9.126683E+12
        26.60531      9.297699E+12
        26.66055      9.222822E+12
        26.71580      8.958494E+12
        26.77104      8.752902E+12
        26.82628      8.336197E+12
        26.88153      7.834146E+12
        26.93677      7.348408E+12
        26.99202      6.740378E+12
        27.04726      6.114147E+12
        27.10250      5.554657E+12
        27.15775      5.016423E+12
        27.21299      4.592068E+12
        27.26823      4.341660E+12
        27.32348      4.278877E+12
        27.37872      4.511806E+12
        27.43396      5.058559E+12
        27.48921      5.975733E+12
        27.54445      7.330645E+12
        27.59969      9.118008E+12
        27.64389      1.087846E+13
        27.69913      1.384241E+13
        27.75438      1.682645E+13
        27.79857      1.949585E+13
        27.85382      2.295919E+13
        27.89801      2.579705E+13
        27.95325      2.926320E+13
        27.99745      3.168054E+13
        28.04164      3.388343E+13
        28.08584      3.527014E+13
        28.13003      3.645451E+13
        28.17423      3.612476E+13
        28.21842      3.552772E+13
        28.26262      3.343954E+13
        28.30681      3.145289E+13
        28.33996      2.981785E+13
        28.37311      2.752657E+13
        28.41730      2.482274E+13
        28.45045      2.447476E+13
        28.48359      2.722122E+13
        28.50569      3.098982E+13
        28.53884      4.076950E+13
        28.56093      4.996710E+13
        28.59408      6.324052E+13
        28.61618      6.787724E+13
        28.63827      4.615403E+13
        28.66037      1.647989E+13
        28.68247      7.868550E+12
        28.71561      7.085953E+12
        28.73771      8.527691E+12
        28.77086      8.274325E+12
        28.79296      6.230368E+12
        28.82610      4.331209E+12
        28.85925      4.383971E+12
        28.90344      5.861780E+12
        28.93659      6.685112E+12
        28.96974      6.188332E+12
        29.01393      5.190770E+12
        29.05813      4.942372E+12
        29.10232      5.366981E+12
        29.14651      5.160129E+12
        29.19071      4.887169E+12
        29.23491      4.641351E+12
        29.27910      4.371017E+12
        29.32329      4.059693E+12
        29.37854      3.845477E+12
        29.42273      3.628607E+12
        29.47798      3.165237E+12
        29.52217      2.907131E+12
        29.57742      2.727208E+12
        29.63266      2.504772E+12
        29.67686      2.346499E+12
        29.73210      2.289509E+12
        29.78734      2.356828E+12
        29.84258      2.529886E+12
        29.89783      2.839978E+12
        29.95307      3.302932E+12
        30.00831      3.934883E+12
        30.06356      4.744725E+12
        30.11880      5.718815E+12
        30.17405      6.837960E+12
        30.22929      8.083719E+12
        30.28453      9.482730E+12
        30.33978      1.101682E+13
        30.39502      1.255510E+13
        30.45026      1.407409E+13
        30.50551      1.559730E+13
        30.56075      1.707885E+13
        30.61599      1.838899E+13
        30.67124      1.938454E+13
        30.72648      2.014203E+13
        30.78172      2.073693E+13
        30.82592      2.091946E+13
        30.88116      2.067116E+13
        30.93641      2.003333E+13
        30.98060      1.934436E+13
        31.03585      1.834116E+13
        31.08004      1.742075E+13
        31.13528      1.625362E+13
        31.17948      1.562726E+13
        31.22367      1.525374E+13
        31.26787      1.543791E+13
        31.31206      1.622008E+13
        31.35626      1.841716E+13
        31.40045      2.174362E+13
        31.44465      2.585075E+13
        31.48884      3.069206E+13
        31.52199      3.494313E+13
        31.55514      4.038200E+13
        31.59933      4.774462E+13
        31.63248      5.282249E+13
        31.66562      5.465086E+13
        31.68772      5.398607E+13
        31.72087      5.087224E+13
