CALC_ID v. 1.00a
Mon Oct 28 12:01:07 2013
Beff estimated from interpolated measured undulator effective magnetic fields.
Units are in Gauss and mm.

 Gap                 8.00        8.25        8.50        8.75        9.00        9.25        9.50        9.75       10.00       10.25       10.50       10.75       11.00       11.25       11.50       11.75       12.00       12.25       12.50       12.75       13.00       13.25       13.50       13.75       14.00       14.25       14.50       14.75       15.00       15.25       15.50       15.75       16.00       16.25       16.50       16.75       17.00       17.25       17.50       17.75       18.00       18.25       18.50       18.75       19.00       19.25       19.50       19.75       20.00       20.25       20.50       20.75       21.00       21.25       21.50       21.75       22.00       22.25       22.50       22.75       23.00       23.25       23.50       23.75       24.00       24.25       24.50       24.75       25.00
 Period
         26.0     9269.79     8972.42     8684.59     8406.00     8136.35     7875.34     7622.71     7378.13     7141.40     6912.26     6690.47     6476.03     6268.47     6067.55     5873.08     5686.99     5506.79     5332.30     5163.35     4999.74     4841.32     4687.92     4539.38     4398.07     4261.16     4128.51     3999.98     3875.46     3754.82     3637.93     3524.68     3416.79     3312.20     3210.81     3112.52     3017.24     2924.88     2835.35     2748.55     2664.42     2582.86     2503.79     2427.15     2354.28     2283.61     2215.05     2148.56     2084.06     2021.49     1960.81     1901.94     1844.84     1789.46     1735.74     1683.63     1633.09     1584.06     1536.51     1490.38     1445.64     1402.24     1360.15     1319.31     1279.71     1241.29     1204.03     1167.88     1133.43     1100.00
         26.5     9457.36     9158.79     8869.64     8589.62     8318.45     8055.83     7801.50     7555.16     7316.60     7085.57     6861.83     6645.36     6435.72     6232.70     6036.07     5847.85     5665.50     5488.83     5317.67     5151.84     4991.19     4835.55     4684.76     4541.30     4402.23     4267.42     4136.73     4010.05     3887.25     3768.21     3652.82     3542.89     3436.27     3332.86     3232.56     3135.28     3040.93     2949.42     2860.66     2774.57     2691.08     2610.09     2531.55     2456.90     2384.46     2314.16     2245.93     2179.71     2115.44     2053.07     1992.54     1933.79     1876.77     1821.44     1767.74     1715.62     1665.03     1615.94     1568.30     1522.06     1477.18     1433.63     1391.36     1350.33     1310.52     1271.88     1234.38     1198.64     1163.93
         27.0     9641.58     9341.91     9051.56     8770.24     8497.65     8233.54     7977.64     7729.65     7489.37     7256.56     7030.99     6812.60     6601.00     6395.97     6197.31     6007.06     5822.64     5643.89     5470.63     5302.69     5139.90     4982.11     4829.16     4683.63     4542.49     4405.60     4272.84     4144.07     4019.19     3898.07     3780.60     3668.72     3560.14     3454.78     3352.53     3253.32     3157.03     3063.60     2972.94     2884.95     2799.57     2716.72     2636.32     2559.95     2485.79     2413.79     2343.87     2275.97     2210.04     2146.02     2083.86     2023.49     1964.88     1907.96     1852.69     1799.02     1746.91     1696.31     1647.17     1599.46     1553.12     1508.13     1464.45     1422.03     1380.83     1340.83     1301.99     1264.98     1229.01
         27.5     9822.49     9521.84     9230.40     8947.87     8674.00     8408.50     8151.13     7901.61     7659.72     7425.24     7197.94     6977.74     6764.28     6557.35     6356.75     6164.57     5978.20     5797.47     5622.19     5452.22     5287.39     5127.53     4972.52     4825.01     4681.88     4542.99     4408.23     4277.46     4150.57     4027.45     3907.97     3794.20     3683.73     3576.48     3472.35     3371.26     3273.11     3177.81     3085.29     2995.47     2908.26     2823.59     2741.38     2663.33     2587.51     2513.85     2442.28     2372.75     2305.20     2239.57     2175.81     2113.87     2053.69     1995.22     1938.42     1883.23     1829.62     1777.53     1726.93     1677.76     1630.00     1583.59     1538.51     1494.71     1452.16     1410.82     1370.65     1332.37     1295.16
         28.0    10000.16     9698.63     9406.19     9122.57     8847.50     8580.73     8322.00     8071.05     7827.66     7591.61     7362.68     7140.77     6925.56     6716.83     6514.39     6320.37     6132.14     5949.51     5772.32     5600.41     5433.61     5271.79     5114.78     4965.38     4820.34     4679.53     4542.84     4410.14     4281.32     4156.26     4034.86     3919.26     3806.97     3697.90     3591.95     3489.04     3389.08     3291.98     3197.66     3106.05     3017.06     2930.62     2846.65     2766.98     2689.54     2614.26     2541.09     2469.97     2400.84     2333.64     2268.33     2204.84     2143.13     2083.15     2024.84     1968.17     1913.08     1859.54     1807.49     1756.90     1707.73     1659.93     1613.47     1568.32     1524.42     1481.75     1440.28     1400.76     1362.32
         28.5    10174.63     9872.32     9578.99     9294.37     9018.21     8750.26     8490.27     8237.98     7993.19     7755.67     7525.21     7301.70     7084.82     6874.38     6670.20     6474.44     6284.43     6100.00     5920.98     5747.21     5578.54     5414.82     5255.91     5104.69     4957.82     4815.17     4676.63     4542.07     4411.39     4284.46     4161.19     4043.83     3929.79     3818.96     3711.25     3606.58     3504.87     3406.02     3309.96     3216.61     3125.89     3037.74     2952.06     2870.81     2791.79     2714.95     2640.22     2567.55     2496.88     2428.15     2361.32     2296.33     2233.12     2171.65     2111.88     2053.75     1997.22     1942.25     1888.79     1836.80     1786.25     1737.08     1689.27     1642.77     1597.55     1553.58     1510.82     1470.07     1430.42
         29.0    10345.98    10042.98     9748.84     9463.32     9186.16     8917.12     8655.96     8402.44     8156.33     7917.44     7685.55     7460.51     7242.06     7030.01     6824.17     6626.76     6435.06     6248.91     6068.14     5892.60     5722.14     5556.61     5395.87     5242.90     5094.27     4949.86     4809.54     4673.20     4540.72     4412.00     4286.92     4167.87     4052.13     3939.60     3830.20     3723.83     3620.42     3519.88     3422.13     3327.10     3234.70     3144.87     3057.54     2974.75     2894.21     2815.84     2739.60     2665.42     2593.25     2523.04     2454.72     2388.26     2323.59     2260.68     2199.47     2139.91     2081.97     2025.60     1970.75     1917.39     1865.48     1814.97     1765.82     1718.01     1671.49     1626.24     1582.20     1540.25     1499.40
         29.5    10514.26    10210.65     9915.79     9629.46     9351.39     9081.35     8819.11     8564.43     8317.11     8076.93     7843.69     7617.22     7397.29     7183.71     6976.29     6777.31     6584.01     6396.22     6213.79     6036.55     5864.38     5697.11     5534.62     5379.99     5229.67     5083.56     4941.53     4803.47     4669.26     4538.81     4412.00     4291.32     4173.94     4059.77     3948.73     3840.72     3735.67     3633.49     3534.11     3437.44     3343.42     3251.97     3163.02     3078.75     2996.72     2916.88     2839.16     2763.52     2689.89     2618.22     2548.47     2480.57     2414.48     2350.15     2287.53     2226.59     2167.26     2109.52     2053.32     1998.61     1945.36     1893.53     1843.08     1793.97     1746.18     1699.65     1654.37     1611.22     1569.20
         30.0    10679.54    10375.39    10079.90     9792.83     9513.93     9242.98     8979.74     8724.00     8475.54     8234.16     7999.65     7771.83     7550.50     7335.47     7126.57     6926.10     6731.27     6541.92     6357.90     6179.05     6005.24     5836.31     5672.14     5515.91     5363.98     5216.24     5072.56     4932.85     4796.98     4664.86     4536.37     4414.12     4295.17     4179.43     4066.80     3957.21     3850.57     3746.80     3645.83     3547.58     3451.98     3358.96     3268.44     3182.73     3099.27     3017.99     2938.85     2861.78     2786.73     2713.65     2642.49     2573.19     2505.71     2440.00     2376.01     2313.70     2253.03     2193.95     2136.41     2080.39     2025.83     1972.70     1920.97     1870.59     1821.54     1773.77     1727.26     1682.94     1639.76
         30.5    10841.86    10537.26    10241.21     9953.48     9673.83     9402.04     9137.89     8881.16     8631.65     8389.14     8153.45     7924.36     7701.71     7485.31     7275.00     7073.12     6876.84     6686.00     6500.47     6320.08     6144.69     5974.18     5808.39     5650.64     5497.16     5347.86     5202.61     5061.30     4923.84     4790.10     4660.00     4536.25     4415.78     4298.51     4184.35     4073.23     3965.06     3859.76     3757.25     3657.47     3560.34     3465.79     3373.75     3286.64     3201.79     3119.12     3038.59     2960.14     2883.71     2809.25     2736.72     2666.06     2597.23     2530.17     2464.85     2401.21     2339.21     2278.82     2219.98     2162.66     2106.83     2052.43     1999.44     1947.82     1897.52     1848.53     1800.81     1755.34     1711.03
         31.0    11001.30    10696.31    10399.77    10111.45     9831.13     9558.58     9293.59     9035.95     8785.45     8541.90     8305.10     8074.82     7850.92     7633.24     7421.58     7218.36     7020.70     6828.46     6641.48     6459.62     6282.74     6110.70     5943.37     5784.15     5629.20     5478.39     5331.63     5188.80     5049.79     4914.51     4782.85     4657.64     4535.72     4416.98     4301.35     4188.75     4079.09     3972.31     3868.32     3767.06     3668.44     3572.41     3478.89     3390.43     3304.23     3220.21     3138.33     3058.54     2980.77     2904.98     2831.12     2759.13     2688.98     2620.61     2553.98     2489.04     2425.75     2364.07     2303.96     2245.38     2188.29     2132.65     2078.43     2025.58     1974.08     1923.88     1874.96     1828.37     1782.94
