Time,secs	AreaA,cm²	AreaA,A²	Unused    	Unused    	PiA,mN/m	PiB,mN/m	Unused    	Unused    	Unused    	Unused    
43.850000	68.826279	7.102782	700.007172	700.007172	1.652807	4.437459	0.000000		0.000000	12799.679664
44.410000	68.758126	7.095749	700.007172	700.007172	1.673129	4.462194	0.000000		0.000000	12799.679664
44.970000	68.681454	7.087837	699.835049	699.835049	1.693450	4.481982	0.000000		0.000000	12799.184742
45.540000	68.647377	7.084320	700.179295	700.179295	1.710384	4.496823	0.000000		0.000000	12799.679664
46.100000	68.570705	7.076408	700.007172	700.007172	1.727319	4.511664	0.000000		0.000000	12799.679664
46.660000	68.491193	7.068202	699.835049	699.835049	1.751027	4.541346	0.000000		0.000000	12799.184742
47.220000	68.423040	7.061169	700.007172	700.007172	1.767962	4.551240	0.000000		0.000000	12799.679664
47.780000	68.371926	7.055894	700.007172	700.007172	1.791670	4.575975	0.000000		0.000000	12799.679664
48.330000	68.323651	7.050912	700.007172	700.007172	1.805218	4.590816	0.000000		0.000000	12799.679664
48.880000	68.235620	7.041827	700.007172	700.007172	1.818765	4.610604	0.000000		0.000000	12799.679664
49.440000	68.193024	7.037431	700.007172	700.007172	1.845860	4.630392	0.000000		0.000000	12799.679664
50.000000	68.153268	7.033329	699.835049	699.835049	1.856021	4.655127	0.000000		0.000000	12799.679664
50.560000	68.113512	7.029226	700.007172	700.007172	1.872956	4.669968	0.000000		0.000000	12799.679664
51.120000	68.076596	7.025416	700.007172	700.007172	1.893277	4.699650	0.000000		0.000000	12799.679664
51.680000	67.991405	7.016625	700.007172	700.007172	1.910212	4.719438	0.000000		0.000000	12799.679664
52.230000	67.874977	7.004609	700.007172	700.007172	1.933920	4.744173	0.000000		0.000000	12799.679664
52.780000	67.832381	7.000214	700.179295	700.179295	1.950854	4.754067	0.000000		0.000000	12799.679664
53.330000	67.775587	6.994353	700.007172	700.007172	1.967789	4.773855	0.000000		0.000000	12799.679664
53.880000	67.681877	6.984682	700.007172	700.007172	1.994884	4.798590	0.000000		0.000000	12799.679664
54.430000	67.636442	6.979993	700.007172	700.007172	2.018592	4.818378	0.000000		0.000000	12799.679664
54.980000	67.576808	6.973839	700.007172	700.007172	2.028753	4.828272	0.000000		0.000000	12799.679664
55.530000	67.488777	6.964754	700.007172	700.007172	2.049075	4.857954	0.000000		0.000000	12799.679664
56.080000	67.426303	6.958307	700.007172	700.007172	2.069396	4.867848	0.000000		0.000000	12799.679664
56.630000	67.369509	6.952446	700.007172	700.007172	2.082943	4.882689	0.000000		0.000000	12799.679664
57.180000	67.289998	6.944240	700.179295	700.179295	2.103265	4.902477	0.000000		0.000000	12799.679664
57.730000	67.230364	6.938086	700.007172	700.007172	2.123586	4.922265	0.000000		0.000000	12799.679664
58.280000	67.204806	6.935449	700.007172	700.007172	2.137134	4.932159	0.000000		0.000000	12799.679664
58.830000	67.133814	6.928122	700.007172	700.007172	2.154068	4.947000	0.000000		0.000000	12799.679664
59.380000	67.051462	6.919624	699.835049	699.835049	2.171003	4.971735	0.000000		0.000000	12799.679664
59.930000	67.014546	6.915814	700.007172	700.007172	2.187937	4.981629	0.000000		0.000000	12799.184742
60.480000	66.969111	6.911125	700.007172	700.007172	2.208259	5.011311	0.000000		0.000000	12799.679664
61.030000	66.903797	6.904385	699.835049	699.835049	2.228580	5.036046	0.000000		0.000000	12799.679664
61.580000	66.875400	6.901454	700.007172	700.007172	2.238741	5.045940	0.000000		0.000000	12799.679664
62.130000	66.815767	6.895300	700.007172	700.007172	2.265836	5.070675	0.000000		0.000000	12799.679664
62.690000	66.741934	6.887681	700.007172	700.007172	2.286157	5.095410	0.000000		0.000000	12799.679664
63.240000	66.673781	6.880648	700.007172	700.007172	2.306479	5.105304	0.000000		0.000000	12799.679664
63.790000	66.639705	6.877131	700.007172	700.007172	2.316640	5.120145	0.000000		0.000000	12799.679664
64.340000	66.528956	6.865702	699.835049	699.835049	2.336961	5.144880	0.000000		0.000000	12799.679664
64.890000	66.480681	6.860720	700.007172	700.007172	2.353896	5.164668	0.000000		0.000000	12799.679664
65.440000	66.409689	6.853394	699.835049	699.835049	2.367443	5.179509	0.000000		0.000000	12799.679664
65.990000	66.344375	6.846653	700.007172	700.007172	2.391151	5.194350	0.000000		0.000000	12799.679664
