Time,secs	AreaA,cm²	AreaA,A²	Unused    	Unused    	PiA,mN/m	PiB,mN/m	Unused    	Unused    	Unused    	Unused    
9.026000	73.019579	37.677613	2326.625954	2326.625954	0.773266	-0.187661	0.000000		-3.563123	12808.093343
9.126000	73.008155	37.671719	2326.625954	2326.625954	0.769618	-0.182850	0.000000		-3.563123	12808.093343
9.226000	73.002444	37.668772	2326.625954	2326.625954	0.769618	-0.182850	0.000000		-3.563123	12808.093343
9.326000	73.002444	37.668772	2326.625954	2326.625954	0.769618	-0.182850	0.000000		-3.563123	12808.093343
9.426000	72.993876	37.664351	2326.625954	2326.625954	0.769618	-0.182850	0.000000		-3.563123	12808.093343
9.526000	72.982453	37.658457	2326.778626	2326.778626	0.773266	-0.182850	0.000000		-3.563123	12808.093343
9.626000	72.982453	37.658457	2326.778626	2326.778626	0.773266	-0.182850	0.000000		-3.563123	12808.093343
9.726000	72.965317	37.649615	2326.625954	2326.625954	0.773266	-0.182850	0.000000		-3.563123	12808.093343
9.826000	72.948182	37.640773	2326.778626	2326.778626	0.773266	-0.182850	0.000000		-3.563123	12808.093343
9.926000	72.948182	37.640773	2326.778626	2326.778626	0.773266	-0.182850	0.000000		-3.563123	12808.093343
10.026000	72.931047	37.631932	2326.625954	2326.625954	0.773266	-0.182850	0.000000		-3.563123	12808.093343
10.126000	72.911056	37.621616	2326.778626	2326.778626	0.776913	-0.178038	0.000000		-3.563123	12808.093343
10.226000	72.911056	37.621616	2326.778626	2326.778626	0.776913	-0.178038	0.000000		-3.563123	12808.093343
10.326000	72.896777	37.614248	2326.625954	2326.625954	0.773266	-0.182850	0.000000		-3.563123	12808.093343
10.426000	72.891065	37.611301	2326.625954	2326.625954	0.776913	-0.178038	0.000000		-3.563123	12808.588265
10.526000	72.891065	37.611301	2326.625954	2326.625954	0.776913	-0.178038	0.000000		-3.563123	12808.588265
10.626000	72.871074	37.600986	2326.625954	2326.625954	0.776913	-0.178038	0.000000		-3.563123	12808.093343
10.726000	72.868218	37.599512	2326.625954	2326.625954	0.773266	-0.178038	0.000000		-3.563123	12808.093343
10.826000	72.868218	37.599512	2326.625954	2326.625954	0.773266	-0.178038	0.000000		-3.563123	12808.093343
10.926000	72.862506	37.596565	2326.625954	2326.625954	0.773266	-0.182850	0.000000		-3.563123	12808.093343
11.026000	72.851083	37.590671	2326.778626	2326.778626	0.773266	-0.182850	0.000000		-3.563123	12808.093343
11.126000	72.851083	37.590671	2326.778626	2326.778626	0.773266	-0.182850	0.000000		-3.563123	12808.093343
11.226000	72.845371	37.587723	2326.778626	2326.778626	0.776913	-0.182850	0.000000		-3.563123	12808.093343
11.326000	72.836803	37.583303	2326.625954	2326.625954	0.780561	-0.178038	0.000000		-3.563123	12808.093343
11.426000	72.836803	37.583303	2326.625954	2326.625954	0.780561	-0.178038	0.000000		-3.563123	12808.093343
11.526000	72.819668	37.574461	2326.625954	2326.625954	0.776913	-0.178038	0.000000		-3.563123	12808.093343
11.626000	72.805389	37.567093	2326.625954	2326.625954	0.776913	-0.173226	0.000000		-3.563123	12808.093343
11.726000	72.805389	37.567093	2326.625954	2326.625954	0.776913	-0.173226	0.000000		-3.563123	12808.093343
11.826000	72.793965	37.561198	2326.625954	2326.625954	0.784208	-0.178038	0.000000		-3.563123	12808.093343
11.926000	72.771119	37.549410	2326.625954	2326.625954	0.780561	-0.178038	0.000000		-3.563123	12808.588265
12.026000	72.771119	37.549410	2326.625954	2326.625954	0.780561	-0.178038	0.000000		-3.563123	12808.588265
12.126000	72.765407	37.546462	2326.625954	2326.625954	0.780561	-0.178038	0.000000		-3.563123	12808.093343
12.226000	72.753983	37.540568	2326.625954	2326.625954	0.784208	-0.178038	0.000000		-3.563123	12808.093343
12.326000	72.753983	37.540568	2326.625954	2326.625954	0.784208	-0.178038	0.000000		-3.563123	12808.093343
12.426000	72.745416	37.536147	2326.778626	2326.778626	0.780561	-0.168414	0.000000		-3.563123	12808.093343
12.526000	72.733992	37.530253	2326.625954	2326.625954	0.780561	-0.168414	0.000000		-3.563123	12808.093343
12.626000	72.733992	37.530253	2326.625954	2326.625954	0.780561	-0.168414	0.000000		-3.563123	12808.093343
12.726000	72.725425	37.525832	2326.625954	2326.625954	0.776913	-0.178038	0.000000		-3.563123	12808.588265
12.826000	72.714001	37.519937	2326.931298	2326.931298	0.780561	-0.178038	0.000000		-3.563123	12808.093343
12.926000	72.714001	37.519937	2326.931298	2326.931298	0.780561	-0.178038	0.000000		-3.563123	12808.093343
13.026000	72.702578	37.514043	2326.625954	2326.625954	0.784208	-0.178038	0.000000		-3.563123	12808.093343
13.126000	72.688298	37.506675	2326.625954	2326.625954	0.784208	-0.178038	0.000000		-3.563123	12808.093343
13.226000	72.688298	37.506675	2326.625954	2326.625954	0.784208	-0.178038	0.000000		-3.563123	12808.093343
13.326000	72.668307	37.496360	2326.625954	2326.625954	0.780561	-0.178038	0.000000		-3.563123	12808.093343
13.426000	72.656884	37.490465	2326.625954	2326.625954	0.784208	-0.168414	0.000000		-3.563123	12808.093343
13.526000	72.656884	37.490465	2326.625954	2326.625954	0.784208	-0.168414	0.000000		-3.563123	12808.093343
13.626000	72.642605	37.483097	2326.625954	2326.625954	0.787856	-0.178038	0.000000		-3.563123	12808.093343
13.726000	72.636893	37.480150	2326.778626	2326.778626	0.780561	-0.173226	0.000000		-3.563123	12808.093343
13.826000	72.636893	37.480150	2326.778626	2326.778626	0.780561	-0.173226	0.000000		-3.563123	12808.093343
13.926000	72.628325	37.475729	2326.625954	2326.625954	0.784208	-0.168414	0.000000		-3.563123	12808.093343
14.026000	72.622614	37.472782	2326.625954	2326.625954	0.784208	-0.168414	0.000000		-3.563123	12808.093343
14.126000	72.622614	37.472782	2326.625954	2326.625954	0.784208	-0.168414	0.000000		-3.563123	12808.093343
14.226000	72.616902	37.469835	2326.625954	2326.625954	0.784208	-0.173226	0.000000		-3.563123	12808.093343
14.326000	72.611190	37.466888	2326.625954	2326.625954	0.784208	-0.168414	0.000000		-3.563123	12808.093343
14.426000	72.611190	37.466888	2326.625954	2326.625954	0.784208	-0.168414	0.000000		-3.563123	12808.093343
14.526000	72.602623	37.462467	2326.625954	2326.625954	0.784208	-0.168414	0.000000		-3.563123	12808.093343
14.626000	72.591199	37.456572	2326.625954	2326.625954	0.787856	-0.168414	0.000000		-3.563123	12808.093343
14.726000	72.591199	37.456572	2326.625954	2326.625954	0.787856	-0.168414	0.000000		-3.563123	12808.093343
14.826000	72.585487	37.453625	2326.625954	2326.625954	0.787856	-0.168414	0.000000		-3.563123	12808.093343
14.926000	72.574064	37.447731	2326.625954	2326.625954	0.791503	-0.178038	0.000000		-3.563123	12808.588265
15.026000	72.574064	37.447731	2326.625954	2326.625954	0.791503	-0.178038	0.000000		-3.563123	12808.588265
15.126000	72.571208	37.446257	2326.778626	2326.778626	0.787856	-0.168414	0.000000		-3.563123	12808.588265
15.226000	72.565496	37.443310	2326.625954	2326.625954	0.791503	-0.168414	0.000000		-3.563123	12808.588265
15.326000	72.565496	37.443310	2326.625954	2326.625954	0.791503	-0.168414	0.000000		-3.563123	12808.588265
15.426000	72.556929	37.438889	2326.625954	2326.625954	0.784208	-0.168414	0.000000		-3.563123	12808.093343
15.526000	72.542649	37.431521	2326.625954	2326.625954	0.787856	-0.168414	0.000000		-3.563123	12808.093343
15.626000	72.542649	37.431521	2326.625954	2326.625954	0.787856	-0.168414	0.000000		-3.563123	12808.093343
15.726000	72.536938	37.428574	2326.625954	2326.625954	0.791503	-0.163602	0.000000		-3.563123	12808.588265
15.826000	72.522658	37.421206	2326.473282	2326.473282	0.791503	-0.168414	0.000000		-3.563123	12808.093343
15.926000	72.522658	37.421206	2326.473282	2326.473282	0.791503	-0.168414	0.000000		-3.563123	12808.093343
16.026000	72.508379	37.413838	2326.625954	2326.625954	0.791503	-0.163602	0.000000		-3.563123	12808.093343
16.126000	72.491244	37.404996	2326.625954	2326.625954	0.791503	-0.163602	0.000000		-3.563123	12808.093343
16.226000	72.491244	37.404996	2326.625954	2326.625954	0.791503	-0.163602	0.000000		-3.563123	12808.093343
16.326000	72.474109	37.396154	2326.625954	2326.625954	0.795151	-0.173226	0.000000		-3.563123	12808.093343
16.426000	72.465541	37.391734	2326.625954	2326.625954	0.795151	-0.173226	0.000000		-3.563123	12808.588265
16.526000	72.465541	37.391734	2326.625954	2326.625954	0.795151	-0.173226	0.000000		-3.563123	12808.588265
16.626000	72.445550	37.381418	2326.625954	2326.625954	0.795151	-0.163602	0.000000		-3.563123	12808.588265
16.726000	72.431271	37.374050	2326.778626	2326.778626	0.795151	-0.163602	0.000000		-3.563123	12808.093343
16.826000	72.431271	37.374050	2326.778626	2326.778626	0.795151	-0.163602	0.000000		-3.563123	12808.093343
16.926000	72.422703	37.369630	2326.625954	2326.625954	0.798798	-0.163602	0.000000		-3.563123	12808.093343
17.026000	72.411280	37.363735	2326.778626	2326.778626	0.798798	-0.163602	0.000000		-3.563123	12808.093343
17.126000	72.411280	37.363735	2326.778626	2326.778626	0.798798	-0.163602	0.000000		-3.563123	12808.093343
17.226000	72.391289	37.353420	2326.625954	2326.625954	0.798798	-0.163602	0.000000		-3.563123	12808.093343
17.326000	72.368442	37.341631	2326.625954	2326.625954	0.791503	-0.158790	0.000000		-3.563123	12808.093343
17.426000	72.368442	37.341631	2326.625954	2326.625954	0.791503	-0.158790	0.000000		-3.563123	12808.093343
17.526000	72.339883	37.326895	2326.625954	2326.625954	0.798798	-0.163602	0.000000		-3.563123	12808.093343
17.626000	72.328460	37.321001	2326.625954	2326.625954	0.798798	-0.163602	0.000000		-3.563123	12808.093343
17.726000	72.328460	37.321001	2326.625954	2326.625954	0.798798	-0.163602	0.000000		-3.563123	12808.093343
17.826000	72.311324	37.312159	2326.625954	2326.625954	0.798798	-0.158790	0.000000		-3.563123	12808.093343
